MSFT,Microsoft Corporation,2019-04-10,Biz groups say judge was right to deny class cert in Microsoft sex-bias case ,The U.S. Chamber of Commerce and other major business groups have told a U.S. appeals court that a judge in Seattle properly denied class certification to a group of more than 8 600 women in a lawsuit accusing Microsoft Corp of discrimination in pay and promotions.,topStory
MSFT,Microsoft Corporation,2019-04-10,Qualcomm aims to take on Nvidia  Intel with new AI chips ,SAN FRANCISCO  April 9 Qualcomm Inc on Tuesday unveiled a new chip for speeding up artificial intelligence work  aiming to diversify beyond its stronghold in mobile phone chips and into a fast-growing market now dominated by Nvidia Corp and Intel Corp.,normal
TSLA,Tesla Inc ,2019-04-10,Exclusive: U.S. bill to boost electric car tax credits could rev GM  Tesla ,WASHINGTON A bipartisan group of U.S. lawmakers introduced legislation on Wednesday to expand the electric vehicle tax credit by 400 000 vehicles per manufacturer  a provision that would give a boost to Tesla Inc and General Motors Co before the existing credit comes to an end for them.,topStory
NVDA,NVIDIA Corporation,2019-04-10,Qualcomm aims to take on Nvidia  Intel with new AI chips ,SAN FRANCISCO Qualcomm Inc on Tuesday unveiled a new chip for speeding up artificial intelligence work  aiming to diversify beyond its stronghold in mobile phone chips and into a fast-growing market now dominated by Nvidia Corp and Intel Corp.,topStory
NVDA,NVIDIA Corporation,2019-04-10,Qualcomm aims to take on Nvidia  Intel with new AI chips ,SAN FRANCISCO  April 9 Qualcomm Inc on Tuesday unveiled a new chip for speeding up artificial intelligence work  aiming to diversify beyond its stronghold in mobile phone chips and into a fast-growing market now dominated by Nvidia Corp and Intel Corp.,normal
QCOM,QUALCOMM Incorporated,2019-04-10,Qualcomm aims to take on Nvidia  Intel with new AI chips ,SAN FRANCISCO Qualcomm Inc on Tuesday unveiled a new chip for speeding up artificial intelligence work  aiming to diversify beyond its stronghold in mobile phone chips and into a fast-growing market now dominated by Nvidia Corp and Intel Corp.,topStory
QCOM,QUALCOMM Incorporated,2019-04-10,Qualcomm aims to take on Nvidia  Intel with new AI chips ,SAN FRANCISCO  April 9 Qualcomm Inc on Tuesday unveiled a new chip for speeding up artificial intelligence work  aiming to diversify beyond its stronghold in mobile phone chips and into a fast-growing market now dominated by Nvidia Corp and Intel Corp.,normal
