MSFT,Microsoft Corporation,2019-01-23,Cloud  services fuel IBM's profit beat  robust outlook; shares jump ,IBM Corp  beat Wall Street quarterly earnings estimates and also forecast 2019 profit above expectations on Tuesday  in the latest indication that Chief Executive Officer Ginni Rometty's efforts to turn around the technology services company were gaining traction.,normal
MSFT,Microsoft Corporation,2019-01-23,UPDATE 2-Cloud  services fuel IBM's profit beat  robust outlook; shares jump ,* Red Hat deal getting "overwhelmingly positive" responses from clients,normal
TSLA,Tesla Inc ,2019-01-23,Tesla to cut production hours for Model S and X ,Tesla Inc said on Wednesday it is reducing production hours for higher-priced Model S and Model X cars  just days after saying it would cut jobs as the electric carmaker looks to make more affordable versions of the Model 3 sedan.,topStory
TSLA,Tesla Inc ,2019-01-23,CORRECTED-UPDATE 2-Tesla to cut production hours for Model S and X ,Jan 23 Tesla Inc said on Wednesday it is reducing production hours for higher-priced Model S and Model X cars  just days after saying it would cut jobs as the electric carmaker looks to make more affordable versions of the Model 3 sedan.,normal
TSLA,Tesla Inc ,2019-01-23,Tesla to cut production hours for Model S and X ,Jan 23 Tesla Inc is reducing production hours for its higher priced electric cars Model S and Model X to improve efficiencies  a Tesla spokesperson said on Wednesday.,normal
QCOM,QUALCOMM Incorporated,2019-01-23,Kerrisdale says Qualcomm's stock could shrink by half: report ,BOSTON Activist investor Sahm Adrangi  who cemented his reputation with successful bets against Chinese internet companies  said that he has taken a short position against Qualcomm Inc   arguing the chip supplier's stock price could shrink by half.,topStory
QCOM,QUALCOMM Incorporated,2019-01-23,Kerrisdale says Qualcomm's stock could shrink by half-report ,BOSTON  Jan 23 Activist investor Sahm Adrangi  who cemented his reputation with successful bets against Chinese internet companies  said that he has taken a short position against Qualcomm Inc  arguing the chip supplier's stock price could shrink by half.,normal
