MSFT,Microsoft Corporation,2019-02-08,Judge discounted women’s stories in Microsoft sex bias lawsuit – rights groups ,Three dozen civil and women's rights groups have told a U.S. appeals court that a federal judge improperly ignored anecdotal evidence of alleged sex discrimination at Microsoft Corp when he declined to certify a class of more than 8 600 female engineers and other technical workers.,topStory
TSLA,Tesla Inc ,2019-02-08,Tesla cuts Model 3 price for second time this year ,Tesla Inc said on Wednesday it was lowering the price of its Model 3 sedan for the second time this year  moves that come in the wake of Tesla losing a tax credit that made its cars more affordable for U.S. buyers. | Video ,topStory
TSLA,Tesla Inc ,2019-02-08,Fiat Chrysler paid $77 million in U.S. fuel economy penalties in 2018 ,WASHINGTON Fiat Chrysler Automobiles NV told Reuters on Thursday it paid $77 million in U.S. civil penalties late last year for failing to meet 2016 model year fuel economy requirements  the first significant sign the industry is facing hurdles meeting rising emissions rules.,normal
