TSLA,Tesla Inc ,2019-01-09,Former class action plaintiff proceeds alone with Tesla lawsuit ,One man is pressing on alone with a lawsuit alleging Tesla Inc failed to warn about unintended acceleration defects in its vehicles after five of his former co-plaintiffs voluntarily dismissed similar claims.,topStory
TSLA,Tesla Inc ,2019-01-09,Tesla sued for passenger death due to defective battery ,Chicago law firm Corboy & Demetrio said on Tuesday it filed a lawsuit against electric carmaker Tesla Inc alleging that its 2014 Model S sedan had a defective battery pack that caused the death of an 18-year old passenger in an accident last year.,normal
TSLA,Tesla Inc ,2019-01-09,Move aside  backseat driver! New tech at CES monitors you inside car ,LAS VEGAS As vehicles get smarter  your car will be keeping eyes on you. | Video ,normal
QCOM,QUALCOMM Incorporated,2019-01-09,Apple  Qualcomm spar over CEOs' comments on settlement talks ,Qualcomm Inc  has responded to comments made by Apple Inc  Chief Executive Tim Cook in an interview  in which he said there had been no recent settlement talks between the iPhone maker and chip supplier in their global legal battle  calling Cook's remarks "misleading.",topStory
QCOM,QUALCOMM Incorporated,2019-01-09,UPDATE 3-Apple  Qualcomm spar over CEOs' comments on settlement talks ,Jan 9 Qualcomm Inc has responded to comments made by Apple Inc Chief Executive Tim Cook in an interview  in which he said there had been no recent settlement talks between the iPhone maker and chip supplier in their global legal battle  calling Cook's remarks "misleading.",normal
QCOM,QUALCOMM Incorporated,2019-01-09,REFILE-UPDATE 2-Qualcomm calls Apple CEO's settlement talk comment "misleading" ,Jan 8 Qualcomm Inc on Tuesday responded to comments Apple Inc Chief Executive Tim Cook made in an interview  in which he said there had been no recent settlement talks between the iPhone maker and chip supplier in their global legal battle  calling Cook's remarks "misleading.",normal
