MSFT,Microsoft Corporation,2019-03-06,BRIEF-Schindler Forms BuildingMinds Start-Up ,* BUILDINGMINDS SCHINDLER START-UP TO DRIVE DIGITAL TRANSFORMATION IN THE REAL ESTATE SECTOR,topStory
TSLA,Tesla Inc ,2019-03-06,Tesla's Shanghai assembly plant to be completed in May: government official ,BEIJING/SHANGHAI Tesla's upcoming vehicle assembly facility in Shanghai is expected to be completed in May this year  a Shanghai city government official said on Wednesday.,topStory
TSLA,Tesla Inc ,2019-03-06,UPDATE 1-Tesla's Shanghai assembly plant to be completed in May -govt official ,* Tesla facility is China's first wholly foreign-owned car plant,normal
