MSFT,Microsoft Corporation,2019-04-11,Amazon  Microsoft chosen to compete for Pentagon cloud computing contract ,WASHINGTON Amazon.com Inc and Microsoft Corp have been selected to continue competing for Pentagon cloud computing services as part of a contract that could be worth some $10 billion  the U.S. Department of Defense said on Wednesday.,topStory
MSFT,Microsoft Corporation,2019-04-11,UPDATE 2-Amazon  Microsoft chosen to compete for Pentagon cloud computing contract ,WASHINGTON  April 10 Amazon.com Inc and Microsoft Corp have been selected to continue competing for Pentagon cloud computing services as part of a contract that could be worth some $10 billion  the U.S. Department of Defense said on Wednesday.,normal
MSFT,Microsoft Corporation,2019-04-11,Amazon  Microsoft chosen to compete for Pentagon cloud computing contract ,WASHINGTON  April 10 Amazon and Microsoft have been selected to continue competing for Pentagon cloud computing services as part of a contract that could be worth some $10 billion.,normal
TSLA,Tesla Inc ,2019-04-11,Panasonic says reviewing further investment in Tesla Gigafactory ,April 11 Panasonic Corp is studying further investments in battery production at its gigafactory joint venture with Tesla Inc  the company said  responding to a media report that the two companies had frozen previous investment plans.,topStory
