MSFT,Microsoft Corporation,2019-03-26,Adobe  Microsoft to take on Salesforce's marketing software  with LinkedIn as a weapon ,SAN FRANCISCO Adobe Inc and Microsoft Corp are partnering to bolster each other's sales and marketing software capabilities  taking aim at common rival Salesforce.com Inc  they said on Tuesday.,topStory
MSFT,Microsoft Corporation,2019-03-26,CORRECTED-Adobe  Microsoft to take on Salesforce's marketing software  with LinkedIn as a weapon ,SAN FRANCISCO  March 26 Adobe Inc and Microsoft Corp are partnering to bolster each other's sales and marketing software capabilities  taking aim at common rival Salesforce.com Inc  they said on Tuesday.,normal
TSLA,Tesla Inc ,2019-03-26,UPDATE 1-Tesla's Elon Musk  SEC to face off in U.S. court on April 4 ,NEW YORK  March 26 Lawyers for Elon Musk and the U.S. Securities and Exchange Commission will square off in a Manhattan courtroom next week over whether the Tesla Inc chief executive should be held in contempt over one of his tweets.,topStory
TSLA,Tesla Inc ,2019-03-26,U.S. judge schedules hearing in SEC lawsuit against Tesla's Musk ,NEW YORK  March 26 A federal judge on Tuesday scheduled an April 4 hearing to hear oral arguments in the U.S. Securities and Exchange Commission lawsuit seeking to hold Tesla Inc Chief Executive Elon Musk in contempt.,normal
TSLA,Tesla Inc ,2019-03-26,Tesla  Elon Musk win dismissal of lawsuit over Model 3 production ,SAN FRANCISCO A federal judge in San Francisco dismissed for the second time a securities fraud lawsuit brought by Tesla Inc shareholders alleging that the company made misleading comments about the production status of its Model 3.,normal
NVDA,NVIDIA Corporation,2019-03-26,Nvidia CEO says no plans for more acquisitions after Mellanox deal ,TEL AVIV U.S. chip supplier Nvidia Corp has no plans for further acquisitions for the time being after its nearly $7 billion purchase of Israeli chip designer Mellanox Technologies  its chief executive said on Tuesday.,topStory
NVDA,NVIDIA Corporation,2019-03-26,Nvidia CEO says no plans for more acquisitions after Mellanox deal ,TEL AVIV  March 26 U.S. chip supplier Nvidia Corp has no plans for further acquisitions for the time being after its nearly $7 billion purchase of Israeli chip designer Mellanox Technologies  its chief executive said on Tuesday.,normal
QCOM,QUALCOMM Incorporated,2019-03-26,Qualcomm loses bid for Apple iPhone import ban in ITC ruling ,Qualcomm Inc on Tuesday lost a bid to have imports of some Apple Inc iPhones banned in a final and binding ruling on one dispute between the two companies by the full U.S. International Trade Commission.,topStory
QCOM,QUALCOMM Incorporated,2019-03-26,Qualcomm loses bid for Apple iPhone import ban in ITC ruling ,March 26 Qualcomm Inc on Tuesday lost a bid to have imports of some Apple Inc iPhones banned in a final and binding ruling on one dispute between the two companies by the full U.S. International Trade Commission.,normal
QCOM,QUALCOMM Incorporated,2019-03-26,US STOCKS- Wall St climbs as financials snap five days of losses ,* Indexes up: Dow 0.6 pct  S&P 0.7 pct  Nasdaq 0.7 pct (Updates to close),normal
