TSLA,Tesla Inc ,2019-04-30,Tesla to reduce solar panel prices by up to 38 percent: NYT ,Tesla Inc plans to announce on Tuesday that it has started selling solar panels and related equipment for up to 38 percent below the national average price  the New York Times reported on Tuesday.,topStory
TSLA,Tesla Inc ,2019-04-30,UPDATE 1-Tesla to reduce solar panel prices by up to 38 pct - NYT ,April 30 Tesla Inc plans to announce on Tuesday that it has started selling solar panels and related equipment for up to 38 percent below the national average price  the New York Times reported on Tuesday.,normal
TSLA,Tesla Inc ,2019-04-30,Tesla to reduce solar panel prices by up to 38 percent - NYT ,April 30 Tesla Inc plans to announce that it has begun selling solar panels and related equipment for up to 38 percent below the national average price  the New York Times reported on Tuesday.,normal
