TSLA,Tesla Inc ,2019-03-27,Tesla's Elon Musk  SEC to face off in U.S. court on April 4 ,NEW YORK Lawyers for Elon Musk and the U.S. Securities and Exchange Commission will square off in a Manhattan courtroom next week over whether the Tesla Inc chief executive should be held in contempt over one of his tweets.,topStory
QCOM,QUALCOMM Incorporated,2019-03-27,Apple  Qualcomm gird for next phase of patent battle after mixed U.S. rulings ,Split decisions on Tuesday by a U.S. government panel in  acrimonious patent disputes between iPhone-maker Apple and chip supplier Qualcomm left their battle lines largely unchanged ahead of a U.S Federal Trade Commission ruling and a major trial next month.,topStory
QCOM,QUALCOMM Incorporated,2019-03-27,UPDATE 6-Apple  Qualcomm gird for next phase of patent battle after mixed U.S. rulings ,March 26 Split decisions on Tuesday by a U.S. government panel in  acrimonious patent disputes between iPhone-maker Apple and chip supplier Qualcomm left their battle lines largely unchanged ahead of a U.S Federal Trade Commission ruling and a major trial next month.,normal
