TSLA,Tesla Inc ,2019-01-07,Tesla CEO Musk breaks ground at Shanghai Gigafactory to launch China push ,SHANGHAI/BEIJING Tesla Inc  broke ground on Monday for its Shanghai Gigafactory where it plans to begin making its Model 3 electric vehicles (EV) by year-end  a first step in localizing production in the world's largest auto market. | Video ,topStory
TSLA,Tesla Inc ,2019-01-07,CORRECTED-UPDATE 4-Tesla CEO Musk breaks ground at Shanghai Gigafactory to launch China push ,SHANGHAI/BEIJING  Jan 7 Tesla Inc broke ground on Monday for its Shanghai Gigafactory where it plans to begin making its Model 3 electric vehicles (EV) by year-end  a first step in localising production in the world's largest auto market.,normal
TSLA,Tesla Inc ,2019-01-07,Musk tweets "looking forward to breaking ground" on Shanghai Gigafactory ,Jan 6 Elon Musk  Tesla Inc's chief executive  said in a tweet https://twitter.com/elonmusk/status/1082103637990625281 that he is looking forward to breaking ground on the new Tesla Shanghai Gigafactory on Monday.,normal
NVDA,NVIDIA Corporation,2019-01-07,Nvidia says new self-driving platform to hit streets next year ,Nvidia Corp on Monday announced its Drive AutoPilot platform  with artificial intelligence technologies  that can enable the next level of self-driving cars by 2020  further strengthening its position in the industry.,topStory
NVDA,NVIDIA Corporation,2019-01-07,Nvidia says new self-driving platform to hit streets next year ,Jan 7 Nvidia Corp on Monday announced its Drive AutoPilot platform  with artificial intelligence technologies  that can enable the next level of self-driving cars by 2020  further strengthening its position in the industry.,normal
INTC,Intel Corporation,2019-01-07,zGlue pitches 'chiplets' to make custom chips for startups ,Jan 7 A veteran of the world's two biggest chipmakers is hoping to make affordable custom silicon chips for startup companies by rolling out new software on Monday at the Consumer Electronics Show in Las Vegas.,normal
QCOM,QUALCOMM Incorporated,2019-01-07,Qualcomm expands car computer chip lineup  adds music from Amazon ,Qualcomm Inc  on Monday expanded its lineup of car computing chips and broke them into tiers of different prices  similar to its chips for smartphones that power relatively budget-friendly handsets as well as premium models.,topStory
QCOM,QUALCOMM Incorporated,2019-01-07,Qualcomm expands car computer chip lineup  adds music from Amazon ,Jan 7 Qualcomm Inc on Monday expanded its lineup of car computing chips and broke them into tiers of different prices  similar to its chips for smartphones that power relatively budget-friendly handsets as well as premium models.,normal
QCOM,QUALCOMM Incorporated,2019-01-07,Huawei launches server chipset as China pushes to cut reliance on imports ,HONG KONG Huawei Technologies Co Ltd [HWT.UL] on Monday launched a new chipset for use in servers  at a time when China is pushing to enhance its chip-making capabilities and reduce its heavy reliance on imports  especially from the United States.,normal
QCOM,QUALCOMM Incorporated,2019-01-07,UPDATE 1-Huawei launches server chipset as China pushes to cut reliance on imports ,* Launches chipset called the Kunpeng 920  designed by HiSilicon,normal
QCOM,QUALCOMM Incorporated,2019-01-07,China's Huawei launches server chipset as it taps new growth channels ,HONG KONG  Jan 7 Huawei Technologies Co Ltd on Monday launched a new chipset for use in servers  at a time when China is pushing to enhance its chip-making capabilities and reduce its heavy reliance on imports  especially from the United States.,normal
