TSLA,Tesla Inc ,2019-04-23,Lucid Motors names former Tesla Model S chief engineer as CEO ,Electric carmaker Lucid Motors on Tuesday named Peter Rawlinson  former chief engineer of Tesla Inc's Model S  as its chief executive officer  effective immediately.,topStory
TSLA,Tesla Inc ,2019-04-23,Lucid Motors names former Tesla Model S chief engineer as CEO ,April 23 Electric carmaker Lucid Motors on Tuesday named Peter Rawlinson  former chief engineer of Tesla Inc's Model S  as its chief executive officer  effective immediately.,normal
TSLA,Tesla Inc ,2019-04-23,Elon Musk on Tesla's self-driving capabilities ,Tesla Inc revealed its self-driving plans during an investor day on Monday  with Chief Executive Elon Musk predicting the launch of an autonomous robotaxi service next year in some U.S. markets. | Video ,normal
TSLA,Tesla Inc ,2019-04-23,Tesla says robotaxis coming to U.S. roads next year  slams rivals' use of Lidar ,SAN FRANCISCO Chief Executive Elon Musk said Tesla Inc robotaxis with no human drivers would be available in some U.S. markets next year  continuing a habit of bold pronouncements that have excited many investors while often missing deadlines. | Video ,normal
