TSLA,Tesla Inc ,2019-01-03,Tesla cuts U.S. prices on all vehicles  shares drop ,Tesla Inc  on Wednesday cut U.S. prices for all its vehicles to offset lower green tax credits  and fell short on quarterly deliveries of its mass-market Model 3 sedan  sending shares of the electric vehicle maker down nearly 7 percent on worries of future profitability. | Video ,topStory
TSLA,Tesla Inc ,2019-01-03,Breakingviews - Lyft  Uber IPOs will drain Tesla’s scarcity value ,NEW YORK (Reuters Breakingviews) - Initial public offerings by Lyft and Uber Technologies will drain Tesla’s scarcity value in the next 12 months. Elon Musk’s electric-vehicle maker  whose market value hit $64.8 billion in August 2018  has  to date  been virtually the only way to invest directly in the car industry of the future. But the two ride-hailing firms will give U.S. public shareholders who factor in environmental  social and governance concerns new options.,normal
QCOM,QUALCOMM Incorporated,2019-01-03,German Apple reseller Gravis says still selling iPhones 7  8 ,FRANKFURT  Jan 3 German Apple retailer Gravis said it was still selling iPhone 7 and 8 models at its stores and online after Qualcomm posted security bonds to enforce a court order that will ban sales of some Apple iPhones in Germany.,topStory
QCOM,QUALCOMM Incorporated,2019-01-03,Qualcomm posts court ordered bonds to stop iPhone sales in Germany ,Jan 3 Qualcomm Inc said on Thursday that it has posted security bonds of 1.34 billion euros ($1.52 billion) in order to be able to enforce a German court order  which found that Apple had infringed the chipmakers patents on power saving technology used in smartphones.,normal
