MSFT,Microsoft Corporation,2019-01-11,Microsoft wins $1.76 billion defense contract: Pentagon ,WASHINGTON Microsoft Corp  has been awarded a five-year contract worth $1.76 billion for delivering enterprise services for the Defense Department  Coast Guard and intelligence services  the Pentagon said on Friday.,topStory
MSFT,Microsoft Corporation,2019-01-11,Microsoft wins $1.76 billion defense contract -Pentagon ,WASHINGTON  Jan 11 Microsoft Corp has been awarded a five-year contract worth $1.76 billion for delivering enterprise services for the Defense Department  Coast Guard and intelligence services  the Pentagon said on Friday. (Reporting by David Alexander  editing by G Crosse),normal
MSFT,Microsoft Corporation,2019-01-11,UPDATE 2-Slack "seriously" considering direct market listing - source ,Jan 11 Slack Technologies Inc is "seriously" considering making its stock exchange debut through a direct listing  a source familiar with the matter told Reuters on Friday.,normal
TSLA,Tesla Inc ,2019-01-11,UPDATE 5-GM bucks gloomy earnings forecast trend  shares jump ,Jan 11 General Motors Co executives on Friday bucked gloomy forecasts for growth and sent the automaker's shares soaring  promising investors stronger 2019 earnings and outlining ambitious plans for its Cadillac brand to challenge Tesla Inc in the growing electric vehicle market.,topStory
TSLA,Tesla Inc ,2019-01-11,Exclusive: GM's Cadillac will introduce EV in fight against Tesla - sources ,WASHINGTON Cadillac is expected to become General Motors Co's  lead electric vehicle brand as the largest U.S. automaker gears up to introduce a new model under that luxury marquee to challenge Tesla Inc   two people briefed on the matter said Thursday.,normal
NVDA,NVIDIA Corporation,2019-01-11,AMD shows off 7nm next-gen chips at CES  aims at Intel and Nvidia , (In Jan. 9 item  corrects paragraphs 5 and 6 to reflect that AMD no longer performs its own manufacturing),topStory
NVDA,NVIDIA Corporation,2019-01-11,CORRECTED-AMD shows off 7nm next-gen chips at CES  aims at Intel and Nvidia ,Jan 9 Advanced Micro Devices Inc on Wednesday unveiled its next generation smaller and power-efficient computer chip and a graphics processor  aiming at bigger rivals Intel Corp and Nvidia Corp.,normal
INTC,Intel Corporation,2019-01-11,Apple considered Samsung  MediaTek to supply 5G modems for 2019 iPhones ,Apple Inc  held talks with Samsung Electronics Co Ltd  and MediaTek Inc  along with existing vendor Intel Corp  to supply 5G modem chips for 2019 iPhones  according to an Apple executive's testimony at a trial between Qualcomm Inc  and the U.S. Federal Trade Commission on Friday.,topStory
INTC,Intel Corporation,2019-01-11,UPDATE 2-Apple considered Samsung  MediaTek to supply 5G modems for 2019 iPhones ,Jan 11 Apple Inc held talks with Samsung Electronics Co Ltd and MediaTek Inc along with existing vendor Intel Corp to supply 5G modem chips for 2019 iPhones  according to an Apple executive's testimony at a trial between Qualcomm Inc and the U.S. Federal Trade Commission on Friday.,normal
INTC,Intel Corporation,2019-01-11,Apple considered Samsung  MediaTek to supply 5G modems for 2019 iPhones ,Jan 11 Apple Inc considered tapping Samsung Electronics Co Ltd and MediaTek Inc along with existing vendor Intel Corp to supply modem chips for 2019 iPhones  according to an Apple executive's testimony at the trial between Qualcomm Inc and the U.S. Federal Trade Commission on Friday.,normal
INTC,Intel Corporation,2019-01-11,AMD shows off 7nm next-gen chips at CES  aims at Intel and Nvidia , (In Jan. 9 item  corrects paragraphs 5 and 6 to reflect that AMD no longer performs its own manufacturing),normal
INTC,Intel Corporation,2019-01-11,CORRECTED-AMD shows off 7nm next-gen chips at CES  aims at Intel and Nvidia ,Jan 9 Advanced Micro Devices Inc on Wednesday unveiled its next generation smaller and power-efficient computer chip and a graphics processor  aiming at bigger rivals Intel Corp and Nvidia Corp.,normal
QCOM,QUALCOMM Incorporated,2019-01-11,Apple considered Samsung  MediaTek to supply 5G modems for 2019 iPhones ,Apple Inc  held talks with Samsung Electronics Co Ltd  and MediaTek Inc  along with existing vendor Intel Corp  to supply 5G modem chips for 2019 iPhones  according to an Apple executive's testimony at a trial between Qualcomm Inc  and the U.S. Federal Trade Commission on Friday.,topStory
QCOM,QUALCOMM Incorporated,2019-01-11,UPDATE 2-Apple considered Samsung  MediaTek to supply 5G modems for 2019 iPhones ,Jan 11 Apple Inc held talks with Samsung Electronics Co Ltd and MediaTek Inc along with existing vendor Intel Corp to supply 5G modem chips for 2019 iPhones  according to an Apple executive's testimony at a trial between Qualcomm Inc and the U.S. Federal Trade Commission on Friday.,normal
QCOM,QUALCOMM Incorporated,2019-01-11,Apple considered Samsung  MediaTek to supply 5G modems for 2019 iPhones ,Jan 11 Apple Inc considered tapping Samsung Electronics Co Ltd and MediaTek Inc along with existing vendor Intel Corp to supply modem chips for 2019 iPhones  according to an Apple executive's testimony at the trial between Qualcomm Inc and the U.S. Federal Trade Commission on Friday.,normal
