MSFT,Microsoft Corporation,2019-04-16,Microsoft turned down facial-recognition sales on human rights concerns ,PALO ALTO  April 16 Microsoft Corp recently rejected a California law enforcement agency’s request to install facial recognition technology in officers’ cars and body cameras due to human rights concerns  company President Brad Smith said on Tuesday.,topStory
MSFT,Microsoft Corporation,2019-04-16,Xbox to partner with ELEAGUE for Gears of War series ,NEW YORK Microsoft Corp said on Tuesday its Xbox Game Studios will partner with Turner Sports' ELEAGUE to produce a documentary series about "Gears of War" players in conjunction with a new version of the video game launching later this year.,normal
MSFT,Microsoft Corporation,2019-04-16,Xbox to partner with ELEAGUE for Gears of War series ,NEW YORK  April 16 Microsoft Corp said on Tuesday its Xbox Game Studios will partner with Turner Sports' ELEAGUE to produce a documentary series about "Gears of War" players in conjunction with a new version of the video game launching later this year.,normal
INTC,Intel Corporation,2019-04-16,Intel says to exit 5G smartphone modem business ,Intel Corp said on Tuesday it was exiting the 5G smartphone modem business  while assessing opportunities for 4G and 5G modems in PCs  internet of things devices and other data-centric devices.,topStory
INTC,Intel Corporation,2019-04-16,Intel says to exit 5G smartphone modem business ,April 16 Intel Corp said on Tuesday it was exiting the 5G smartphone modem business  while assessing opportunities for 4G and 5G modems in PCs  internet of things devices and other data-centric devices.,normal
QCOM,QUALCOMM Incorporated,2019-04-16,Breakingviews - Apple and Qualcomm face up to mutual need ,NEW YORK (Reuters Breakingviews) - Apple and Qualcomm have faced up to their mutual need. The $940 billion smartphone maker and $85 billion mobile-chip firm on Tuesday ended a two-year fight over royalties with a licensing agreement and a cash payment to Qualcomm. Apple can’t risk being stuck with second-rate semiconductors in its devices  and Qualcomm has huge revenue at stake. At first blush  both sides benefit from the truce.,topStory
QCOM,QUALCOMM Incorporated,2019-04-16,Apple and Qualcomm settle royalty dispute- CNBC ,April 16 Apple Inc and Qualcomm Inc have settled royalty dispute  CNBC reported https://www.cnbc.com/2019/04/16/apple-qualcomm-settle-royalty-dispute-sources-say.html on Tuesday  citing sources.,normal
QCOM,QUALCOMM Incorporated,2019-04-16,UPDATE 1-Fried chicken vs $13: Apple  Qualcomm explain claims to jury as trial opens ,SAN DIEGO  Calif.  April 16 Apple Inc and Qualcomm Inc on Tuesday opened  a complex trial with the iPhone maker using a fried chicken analogy to illustrate its claim the chip company is abusing  its market power while Qualcomm alleged a years-long plan by Apple to deprive it of billions in revenue  $13 at a time.,normal
QCOM,QUALCOMM Incorporated,2019-04-16,Apple likens Qualcomm chips to fried chicken as trial begins ,SAN DIEGO  Calif.  April 16 A trial opened Tuesday in a complex contract and anti-trust dispute between Apple Inc and Qualcomm Inc with the iPhone maker using a fried chicken analogy to explain its claim that the chip company is abusing its market power.,normal
