TSLA,Tesla Inc ,2019-01-05,Tesla urges tariff exemption for Chinese-made car computer 'brain' ,WASHINGTON Tesla Inc has asked the Trump administration to exempt the Chinese-made car computer "brain" of its new Model 3 sedan from 25 percent tariffs imposed in August  saying they threaten the electric carmaker's bottom line.,topStory
QCOM,QUALCOMM Incorporated,2019-01-05,Samsung  Huawei supply majority of own modem chips  Qualcomm says ,SAN JOSE  Calif. The two largest smart phone makers in the world supply a majority of their own modem chips to help their devices connect to wireless data networks  according to evidence presented at an antitrust trial for chip supplier Qualcomm Inc .,topStory
QCOM,QUALCOMM Incorporated,2019-01-05,Samsung  Huawei supply majority of own modem chips  Qualcomm says ,SAN JOSE  Calif.  Jan 4 The two largest smart phone makers in the world supply a majority of their own modem chips to help their devices connect to wireless data networks  according to evidence presented at an antitrust trial for chip supplier Qualcomm Inc.,normal
