MSFT,Microsoft Corporation,2019-04-08,EU data supervisor probes EU bodies' software deals with Microsoft ,BRUSSELS EU data protection authorities are investigating whether the European Commission and other EU institutions comply with the bloc's strict data privacy rules in their software deals with Microsoft.,topStory
MSFT,Microsoft Corporation,2019-04-08,UPDATE 2-EU data supervisor probes EU bodies' software deals with Microsoft ,BRUSSELS  April 8 EU data protection authorities are investigating whether the European Commission and other EU institutions comply with the bloc's strict data privacy rules in their software deals with Microsoft.,normal
MSFT,Microsoft Corporation,2019-04-08,European data supervisor investigates Microsoft contracts with EU bodies ,BRUSSELS  April 8 The European Union's data protection supervisor on Monday said it had launched an investigation into whether services and products provided by the software giant Microsoft to EU institutions comply with its new data protection rules.,normal
TSLA,Tesla Inc ,2019-04-08,SEC steps on Tesla 'reasonable' to prevent problems: commissioner ,WASHINGTON The U.S. securities watchdog's request that a federal judge hold Tesla Inc Chief Executive Elon Musk in contempt over the billionaire entrepreneur's use of Twitter was "reasonable " said a U.S. Securities and Exchange Commission official on Monday.,topStory
TSLA,Tesla Inc ,2019-04-08,SEC steps on Tesla 'reasonable' to prevent problems -commissioner ,WASHINGTON  April 8 The U.S. securities watchdog's request that a federal judge hold Tesla Inc Chief Executive Elon Musk in contempt over the billionaire entrepreneur's use of Twitter was "reasonable " said a U.S. Securities and Exchange Commission official on Monday.,normal
