TSLA,Tesla Inc ,2019-04-07,Fiat Chrysler to pay Tesla hundreds of millions of euros to pool fleet ,Italian-U.S. carmaker Fiat Chrysler Automobiles NV (FCA) has agreed to pay electric carmaker Tesla Inc hundreds of millions of euros to allow Tesla vehicles to be counted in its fleet to avoid fines for violating new European Union emission rules.,topStory
TSLA,Tesla Inc ,2019-04-07,UPDATE 2-Fiat Chrysler to pay Tesla hundreds of millions of euros to pool fleet ,April 7 Italian-U.S. carmaker Fiat Chrysler Automobiles NV (FCA) has agreed to pay electric carmaker Tesla Inc hundreds of millions of euros to allow Tesla vehicles to be counted in its fleet to avoid fines for violating new European Union emission rules.,normal
TSLA,Tesla Inc ,2019-04-07,Fiat Chrysler to pay Tesla hundreds of millions of euros to pool fleet - FT ,April 7 Italian carmaker Fiat Chrysler Automobiles NV has agreed to pay electric carmaker Tesla Inc hundreds of millions of euros so that the vehicles of Tesla are counted in its fleet to avoid fines for violating new European Union emission rules  the Financial Times reported on Sunday.,normal
