TSLA,Tesla Inc ,2019-04-19,Tesla's Elon Musk  SEC get another week to work out deal on Twitter use ,NEW YORK Tesla Inc Chief Executive Elon Musk and the U.S. Securities and Exchange Commission will get another week to settle a dispute over Musk's use of Twitter  a federal judge ruled Thursday.,topStory
QCOM,QUALCOMM Incorporated,2019-04-19,Qualcomm's joint venture with Chinese province to shut down: The Information ,A joint venture between U.S. smartphone chipmaker Qualcomm Inc and China's Guizhou province will shut down by the end of the month  The Information reported on Friday  citing employees at the venture.,topStory
QCOM,QUALCOMM Incorporated,2019-04-19,Qualcomm's joint venture with Chinese province to shut down -The Information ,April 19 A joint venture between U.S. smartphone chipmaker Qualcomm Inc and China's Guizhou province will shut down by the end of the month  The Information reported http://bit.ly/2KMbDLH on Friday  citing employees at the venture.,normal
