TSLA,Tesla Inc ,2019-05-01,SEC commissioner decries agency's deal with Tesla's Musk ,A U.S. Securities and Exchange commissioner on Tuesday criticized a settlement between the regulator and Tesla Inc  CEO Elon Musk over his use of Twitter.,topStory
TSLA,Tesla Inc ,2019-05-01,PRESS DIGEST- Wall Street Journal - May 1 ,May 1 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.,normal
TSLA,Tesla Inc ,2019-05-01,UPDATE 1-U.S. SEC commissioner decries agency's deal with Tesla's Musk ,April 30 A U.S. Securities and Exchange commissioner on Tuesday criticized a settlement between the regulator and Tesla Inc  CEO Elon Musk over his use of Twitter.,normal
TSLA,Tesla Inc ,2019-05-01,Judge approves Musk  SEC agreement over Twitter use by CEO ,NEW YORK  April 30 A federal judge on Tuesday approved a deal struck between Tesla Inc Chief Executive Elon Musk and the U.S. Securities and Exchange Commission over Musk's use of Twitter  a court filing showed.,normal
QCOM,QUALCOMM Incorporated,2019-05-01,Qualcomm hangs on to most Apple gains after earnings report ,Qualcomm Inc shares fell about 3% on Wednesday as investors got their first look at the bottom line impact of a patent fight settlement with Apple Inc.,topStory
QCOM,QUALCOMM Incorporated,2019-05-01,UPDATE 3-Qualcomm hangs on to most Apple gains after earnings report ,May 1 Qualcomm Inc shares fell about 3% on Wednesday as investors got their first look at the bottom line impact of a patent fight settlement with Apple Inc .,normal
